name	TF
GMEB2	yes
SKOR2	yes
SP100	yes
SP110	yes
SP140	yes
SP140L	yes
NFIA	yes
NFIB	yes
NFIC	yes
NFIX	yes
SMAD1	yes
SMAD3	yes
SMAD4	yes
SMAD5	yes
SMAD9	yes
STAT1	yes
STAT2	yes
STAT3	yes
STAT4	yes
STAT5A	yes
STAT5B	yes
STAT6	yes
EOMES	yes
MGA	yes
T	yes
TBR1	yes
TBX1	yes
TBX10	yes
TBX15	yes
TBX18	yes
TBX19	yes
TBX2	yes
TBX20	yes
TBX21	yes
TBX22	yes
TBX3	yes
TBX4	yes
TBX5	yes
TBX6	yes
TBP	yes
TBPL1	yes
TBPL2	yes
LIN54	yes
TEAD1	yes
TEAD2	yes
TEAD3	yes
TEAD4	yes
THAP1	yes
THAP10	yes
THAP11	yes
THAP12	yes
THAP2	yes
THAP3	yes
THAP4	yes
THAP5	yes
THAP6	yes
THAP7	yes
THAP8	yes
THAP9	yes
