name	TF
ZBTB4	yes
ZBTB40	yes
ZBTB41	yes
ZBTB42	yes
ZBTB43	yes
ZBTB44	yes
ZBTB45	yes
ZBTB46	yes
ZBTB47	yes
ZBTB48	yes
ZBTB49	yes
ZBTB5	yes
ZBTB6	yes
ZBTB7A	yes
ZBTB7B	yes
ZBTB7C	yes
ZBTB8A	yes
ZBTB8B	yes
ZBTB9	yes
ZFAT	yes
ZFP1	yes
ZFP14	yes
ZFP2	yes
ZFP28	yes
ZFP3	yes
ZFP30	yes
ZFP37	yes
ZFP41	yes
ZFP42	yes
ZFP57	yes
ZFP62	yes
ZFP64	yes
ZFP69	yes
ZFP69B	yes
ZFP82	yes
ZFP90	yes
ZFP91	yes
ZFP92	yes
ZFPM1	yes
ZFPM2	yes
ZFX	yes
ZFY	yes
ZIC1	yes
ZIC2	yes
ZIC3	yes
ZIC4	yes
ZIC5	yes
ZIK1	yes
ZIM2	yes
ZIM3	yes
ZKSCAN1	yes
ZKSCAN2	yes
ZKSCAN3	yes
ZKSCAN4	yes
ZKSCAN5	yes
ZKSCAN7	yes
ZKSCAN8	yes
ZMAT1	yes
ZMAT4	yes
ZNF10	yes
ZNF100	yes
ZNF101	yes
ZNF107	yes
ZNF112	yes
ZNF114	yes
ZNF117	yes
ZNF12	yes
ZNF121	yes
ZNF124	yes
ZNF131	yes
ZNF132	yes
ZNF133	yes
ZNF134	yes
ZNF135	yes
ZNF136	yes
ZNF138	yes
ZNF14	yes
ZNF140	yes
ZNF141	yes
ZNF142	yes
ZNF143	yes
ZNF146	yes
ZNF148	yes
ZNF154	yes
ZNF155	yes
ZNF157	yes
ZNF16	yes
ZNF160	yes
ZNF165	yes
ZNF169	yes
ZNF17	yes
ZNF174	yes
ZNF175	yes
ZNF177	yes
ZNF18	yes
ZNF180	yes
ZNF181	yes
ZNF182	yes
ZNF184	yes
ZNF189	yes
ZNF19	yes
ZNF195	yes
ZNF197	yes
ZNF2	yes
ZNF20	yes
ZNF200	yes
ZNF202	yes
ZNF205	yes
ZNF207	yes
ZNF208	yes
ZNF211	yes
ZNF212	yes
ZNF213	yes
ZNF214	yes
ZNF215	yes
ZNF217	yes
ZNF219	yes
ZNF22	yes
ZNF221	yes
ZNF222	yes
ZNF223	yes
ZNF224	yes
ZNF225	yes
ZNF226	yes
ZNF227	yes
ZNF229	yes
ZNF23	yes
ZNF230	yes
ZNF232	yes
ZNF233	yes
ZNF234	yes
ZNF235	yes
ZNF236	yes
ZNF239	yes
ZNF24	yes
ZNF248	yes
ZNF25	yes
ZNF250	yes
ZNF251	yes
ZNF253	yes
ZNF254	yes
ZNF256	yes
ZNF257	yes
ZNF26	yes
ZNF260	yes
ZNF263	yes
ZNF264	yes
ZNF266	yes
ZNF267	yes
ZNF268	yes
ZNF273	yes
ZNF274	yes
ZNF275	yes
ZNF276	yes
ZNF28	yes
ZNF280A	yes
ZNF280B	yes
ZNF280C	yes
ZNF280D	yes
ZNF281	yes
ZNF282	yes
ZNF283	yes
ZNF284	yes
ZNF285	yes
ZNF286A	yes
ZNF286B	yes
ZNF287	yes
ZNF292	yes
ZNF296	yes
ZNF3	yes
ZNF30	yes
ZNF300	yes
ZNF302	yes
ZNF304	yes
ZNF311	yes
ZNF316	yes
ZNF317	yes
ZNF318	yes
ZNF319	yes
ZNF32	yes
ZNF320	yes
ZNF322	yes
ZNF324	yes
ZNF324B	yes
ZNF326	yes
ZNF329	yes
ZNF331	yes
ZNF333	yes
ZNF334	yes
ZNF335	yes
ZNF337	yes
ZNF33A	yes
ZNF33B	yes
ZNF34	yes
ZNF341	yes
ZNF343	yes
ZNF345	yes
ZNF346	yes
ZNF347	yes
ZNF35	yes
ZNF350	yes
ZNF354A	yes
ZNF354B	yes
ZNF354C	yes
ZNF358	yes
ZNF362	yes
ZNF365	yes
ZNF366	yes
ZNF367	yes
ZNF37A	yes
ZNF382	yes
ZNF383	yes
ZNF384	yes
ZNF385A	yes
ZNF385B	yes
ZNF385C	yes
ZNF385D	yes
ZNF391	yes
ZNF394	yes
ZNF395	yes
ZNF396	yes
ZNF397	yes
ZNF398	yes
ZNF404	yes
ZNF407	yes
ZNF408	yes
ZNF41	yes
ZNF410	yes
ZNF414	yes
ZNF415	yes
ZNF416	yes
ZNF417	yes
ZNF418	yes
ZNF419	yes
ZNF420	yes
ZNF423	yes
ZNF425	yes
ZNF426	yes
ZNF428	yes
ZNF429	yes
ZNF43	yes
ZNF430	yes
ZNF431	yes
ZNF432	yes
ZNF433	yes
ZNF436	yes
ZNF438	yes
ZNF439	yes
ZNF44	yes
ZNF440	yes
ZNF441	yes
ZNF442	yes
ZNF443	yes
ZNF444	yes
ZNF445	yes
ZNF446	yes
ZNF449	yes
ZNF45	yes
ZNF451	yes
ZNF454	yes
ZNF460	yes
ZNF461	yes
ZNF462	yes
ZNF467	yes
ZNF468	yes
ZNF469	yes
ZNF470	yes
ZNF471	yes
ZNF473	yes
ZNF474	yes
ZNF479	yes
ZNF48	yes
ZNF480	yes
ZNF483	yes
ZNF484	yes
ZNF485	yes
ZNF486	yes
ZNF487	yes
ZNF488	yes
ZNF490	yes
ZNF491	yes
ZNF492	yes
ZNF493	yes
ZNF496	yes
ZNF497	yes
ZNF500	yes
ZNF501	yes
ZNF502	yes
ZNF503	yes
ZNF506	yes
ZNF507	yes
ZNF510	yes
ZNF511	yes
ZNF512B	yes
ZNF513	yes
ZNF514	yes
ZNF516	yes
ZNF517	yes
ZNF518A	yes
ZNF518B	yes
ZNF519	yes
ZNF521	yes
ZNF525	yes
ZNF526	yes
ZNF527	yes
ZNF528	yes
ZNF529	yes
ZNF530	yes
ZNF532	yes
ZNF534	yes
ZNF536	yes
ZNF540	yes
ZNF543	yes
ZNF544	yes
ZNF546	yes
ZNF547	yes
ZNF548	yes
ZNF549	yes
ZNF550	yes
ZNF551	yes
ZNF552	yes
ZNF554	yes
ZNF555	yes
ZNF556	yes
ZNF557	yes
ZNF558	yes
ZNF559	yes
ZNF560	yes
ZNF561	yes
ZNF562	yes
ZNF563	yes
