SYMBOL	interaction	target	Neighbourhood
A2M	pp	Cytosol	Cytosol
AAGAB	pp	Cytosol	Cytosol
AAK1	pp	Cytosol	Cytosol
AAMP	pp	Cytosol	Cytosol
AAR2	pp	Cytosol	Cytosol
ABCB4	pp	Cytosol	Cytosol
ABCE1	pp	Cytosol	Cytosol
ABHD8	pp	Cytosol	Cytosol
ABI1	pp	Cytosol	Cytosol
ABI2	pp	Cytosol	Cytosol
ABL2	pp	Cytosol	Cytosol
ABTB1	pp	Cytosol	Cytosol
ACAP3	pp	Cytosol	Cytosol
ACBD6	pp	Cytosol	Cytosol
ACCS	pp	Cytosol	Cytosol
ACO1	pp	Cytosol	Cytosol
ACOT7	pp	Cytosol	Cytosol
ACP1	pp	Cytosol	Cytosol
ACTG2	pp	Cytosol	Cytosol
ACTR10	pp	Cytosol	Cytosol
ACTR1A	pp	Cytosol	Cytosol
ACTR3	pp	Cytosol	Cytosol
ACTR3B	pp	Cytosol	Cytosol
ACY1	pp	Cytosol	Cytosol
ADA	pp	Cytosol	Cytosol
ADCY10	pp	Cytosol	Cytosol
ADCYAP1	pp	Cytosol	Cytosol
ADD2	pp	Cytosol	Cytosol
ADH5	pp	Cytosol	Cytosol
ADH7	pp	Cytosol	Cytosol
ADIRF	pp	Cytosol	Cytosol
ADO	pp	Cytosol	Cytosol
ADPRHL2	pp	Cytosol	Cytosol
ADPRM	pp	Cytosol	Cytosol
ADRBK1	pp	Cytosol	Cytosol
ADRBK2	pp	Cytosol	Cytosol
ADSL	pp	Cytosol	Cytosol
ADSS	pp	Cytosol	Cytosol
AFAP1L2	pp	Cytosol	Cytosol
AFMID	pp	Cytosol	Cytosol
AGAP2-AS1	pp	Cytosol	Cytosol
AGFG1	pp	Cytosol	Cytosol
AGFG2	pp	Cytosol	Cytosol
AHCYL1	pp	Cytosol	Cytosol
AHSG	pp	Cytosol	Cytosol
AIDA	pp	Cytosol	Cytosol
AIP	pp	Cytosol	Cytosol
AK1	pp	Cytosol	Cytosol
AKAP2	pp	Cytosol	Cytosol
AKAP3	pp	Cytosol	Cytosol
AKR1A1	pp	Cytosol	Cytosol
AKR1B1	pp	Cytosol	Cytosol
AKR1B10	pp	Cytosol	Cytosol
AKR1C3	pp	Cytosol	Cytosol
AKT1	pp	Cytosol	Cytosol
AKT2	pp	Cytosol	Cytosol
AKT3	pp	Cytosol	Cytosol
AKTIP	pp	Cytosol	Cytosol
ALDH1A1	pp	Cytosol	Cytosol
ALDH3A1	pp	Cytosol	Cytosol
ALDH7A1	pp	Cytosol	Cytosol
ALKBH3	pp	Cytosol	Cytosol
ALKBH4	pp	Cytosol	Cytosol
ALKBH6	pp	Cytosol	Cytosol
ALKBH8	pp	Cytosol	Cytosol
ALOX5AP	pp	Cytosol	Cytosol
ALPK1	pp	Cytosol	Cytosol
AMBP	pp	Cytosol	Cytosol
AMD1	pp	Cytosol	Cytosol
AMDHD2	pp	Cytosol	Cytosol
AMPH	pp	Cytosol	Cytosol
AMZ1	pp	Cytosol	Cytosol
AMZ2	pp	Cytosol	Cytosol
ANAPC1	pp	Cytosol	Cytosol
ANAPC11	pp	Cytosol	Cytosol
ANG	pp	Cytosol	Cytosol
ANK1	pp	Cytosol	Cytosol
ANKDD1A	pp	Cytosol	Cytosol
ANKRD13B	pp	Cytosol	Cytosol
ANKRD13D	pp	Cytosol	Cytosol
ANKRD16	pp	Cytosol	Cytosol
ANKRD2	pp	Cytosol	Cytosol
ANKRD36C	pp	Cytosol	Cytosol
ANKRD40	pp	Cytosol	Cytosol
ANKRD49	pp	Cytosol	Cytosol
ANKRD52	pp	Cytosol	Cytosol
ANKRD54	pp	Cytosol	Cytosol
ANKZF1	pp	Cytosol	Cytosol
ANP32E	pp	Cytosol	Cytosol
ANXA10	pp	Cytosol	Cytosol
ANXA11	pp	Cytosol	Cytosol
ANXA3	pp	Cytosol	Cytosol
ANXA6	pp	Cytosol	Cytosol
ANXA7	pp	Cytosol	Cytosol
AP1G2	pp	Cytosol	Cytosol
AP3M2	pp	Cytosol	Cytosol
AP3S1	pp	Cytosol	Cytosol
APAF1	pp	Cytosol	Cytosol
APCS	pp	Cytosol	Cytosol
APOA2	pp	Cytosol	Cytosol
APOBEC3A	pp	Cytosol	Cytosol
APPBP2	pp	Cytosol	Cytosol
APRT	pp	Cytosol	Cytosol
AQP4	pp	Cytosol	Cytosol
ARFIP2	pp	Cytosol	Cytosol
ARHGAP12	pp	Cytosol	Cytosol
ARHGAP17	pp	Cytosol	Cytosol
ARHGAP27	pp	Cytosol	Cytosol
ARHGAP29	pp	Cytosol	Cytosol
ARHGAP31	pp	Cytosol	Cytosol
ARHGAP4	pp	Cytosol	Cytosol
ARHGAP44	pp	Cytosol	Cytosol
ARHGAP5	pp	Cytosol	Cytosol
ARHGEF1	pp	Cytosol	Cytosol
ARHGEF10	pp	Cytosol	Cytosol
ARHGEF19	pp	Cytosol	Cytosol
ARHGEF37	pp	Cytosol	Cytosol
ARHGEF38	pp	Cytosol	Cytosol
ARHGEF5	pp	Cytosol	Cytosol
ARHGEF6	pp	Cytosol	Cytosol
ARHGEF7	pp	Cytosol	Cytosol
ARHGEF9	pp	Cytosol	Cytosol
ARIH2	pp	Cytosol	Cytosol
ARL14	pp	Cytosol	Cytosol
ARL16	pp	Cytosol	Cytosol
ARL2	pp	Cytosol	Cytosol
ARL2BP	pp	Cytosol	Cytosol
ARL3	pp	Cytosol	Cytosol
ARMC3	pp	Cytosol	Cytosol
ARMC9	pp	Cytosol	Cytosol
ARMCX4	pp	Cytosol	Cytosol
ARPC1B	pp	Cytosol	Cytosol
ARPC3	pp	Cytosol	Cytosol
ARPC5L	pp	Cytosol	Cytosol
ARPP19	pp	Cytosol	Cytosol
AS3MT	pp	Cytosol	Cytosol
ASAP3	pp	Cytosol	Cytosol
ASB13	pp	Cytosol	Cytosol
ASB6	pp	Cytosol	Cytosol
ASCC3	pp	Cytosol	Cytosol
ASL	pp	Cytosol	Cytosol
ASMTL	pp	Cytosol	Cytosol
ASNS	pp	Cytosol	Cytosol
ASPN	pp	Cytosol	Cytosol
ASRGL1	pp	Cytosol	Cytosol
ASS1	pp	Cytosol	Cytosol
ATAT1	pp	Cytosol	Cytosol
ATG10	pp	Cytosol	Cytosol
ATG12	pp	Cytosol	Cytosol
ATG16L1	pp	Cytosol	Cytosol
ATG3	pp	Cytosol	Cytosol
ATG4C	pp	Cytosol	Cytosol
ATHL1	pp	Cytosol	Cytosol
ATOX1	pp	Cytosol	Cytosol
ATP1B2	pp	Cytosol	Cytosol
ATP4A	pp	Cytosol	Cytosol
ATP6V1C2	pp	Cytosol	Cytosol
ATP6V1E2	pp	Cytosol	Cytosol
ATXN3	pp	Cytosol	Cytosol
ATXN7L3B	pp	Cytosol	Cytosol
AURKA	pp	Cytosol	Cytosol
AVPI1	pp	Cytosol	Cytosol
BABAM1	pp	Cytosol	Cytosol
BBOX1	pp	Cytosol	Cytosol
BBS5	pp	Cytosol	Cytosol
BCAS4	pp	Cytosol	Cytosol
BCAT1	pp	Cytosol	Cytosol
BCKDHA	pp	Cytosol	Cytosol
BCL10	pp	Cytosol	Cytosol
BCL2L14	pp	Cytosol	Cytosol
BCL2L15	pp	Cytosol	Cytosol
BCMO1	pp	Cytosol	Cytosol
BCR	pp	Cytosol	Cytosol
BHMT2	pp	Cytosol	Cytosol
BICC1	pp	Cytosol	Cytosol
BICD2	pp	Cytosol	Cytosol
BID	pp	Cytosol	Cytosol
BIN1	pp	Cytosol	Cytosol
BIN3	pp	Cytosol	Cytosol
BIRC2	pp	Cytosol	Cytosol
BIRC3	pp	Cytosol	Cytosol
BLMH	pp	Cytosol	Cytosol
BLOC1S2	pp	Cytosol	Cytosol
BLVRA	pp	Cytosol	Cytosol
BMPER	pp	Cytosol	Cytosol
BNIPL	pp	Cytosol	Cytosol
BOD1	pp	Cytosol	Cytosol
BOLA1	pp	Cytosol	Cytosol
BORA	pp	Cytosol	Cytosol
BPGM	pp	Cytosol	Cytosol
BPNT1	pp	Cytosol	Cytosol
BRAF	pp	Cytosol	Cytosol
BROX	pp	Cytosol	Cytosol
BRSK2	pp	Cytosol	Cytosol
BSDC1	pp	Cytosol	Cytosol
BSN	pp	Cytosol	Cytosol
BTBD19	pp	Cytosol	Cytosol
BTG1	pp	Cytosol	Cytosol
BTN2A2	pp	Cytosol	Cytosol
BUB1B	pp	Cytosol	Cytosol
C11orf54	pp	Cytosol	Cytosol
C11orf68	pp	Cytosol	Cytosol
C11orf73	pp	Cytosol	Cytosol
C11orf80	pp	Cytosol	Cytosol
C12orf23	pp	Cytosol	Cytosol
C12orf29	pp	Cytosol	Cytosol
C12orf44	pp	Cytosol	Cytosol
C12orf45	pp	Cytosol	Cytosol
C14orf79	pp	Cytosol	Cytosol
C15orf41	pp	Cytosol	Cytosol
C16orf96	pp	Cytosol	Cytosol
C18orf8	pp	Cytosol	Cytosol
C19orf12	pp	Cytosol	Cytosol
C19orf33	pp	Cytosol	Cytosol
C19orf40	pp	Cytosol	Cytosol
C19orf44	pp	Cytosol	Cytosol
C19orf55	pp	Cytosol	Cytosol
C19orf60	pp	Cytosol	Cytosol
C1orf116	pp	Cytosol	Cytosol
C1orf167	pp	Cytosol	Cytosol
C1orf222	pp	Cytosol	Cytosol
C1orf74	pp	Cytosol	Cytosol
C2	pp	Cytosol	Cytosol
C20orf194	pp	Cytosol	Cytosol
C20orf26	pp	Cytosol	Cytosol
C20orf27	pp	Cytosol	Cytosol
C21orf2	pp	Cytosol	Cytosol
C2orf44	pp	Cytosol	Cytosol
C2orf69	pp	Cytosol	Cytosol
C2orf74	pp	Cytosol	Cytosol
C2orf80	pp	Cytosol	Cytosol
C3orf62	pp	Cytosol	Cytosol
C3orf67	pp	Cytosol	Cytosol
C3orf70	pp	Cytosol	Cytosol
C3orf83	pp	Cytosol	Cytosol
C4orf33	pp	Cytosol	Cytosol
C5orf42	pp	Cytosol	Cytosol
C5orf51	pp	Cytosol	Cytosol
C6	pp	Cytosol	Cytosol
C6orf106	pp	Cytosol	Cytosol
C6orf136	pp	Cytosol	Cytosol
C6orf211	pp	Cytosol	Cytosol
C7orf49	pp	Cytosol	Cytosol
C8B	pp	Cytosol	Cytosol
C8G	pp	Cytosol	Cytosol
C8orf37	pp	Cytosol	Cytosol
C8orf88	pp	Cytosol	Cytosol
C9orf156	pp	Cytosol	Cytosol
C9orf64	pp	Cytosol	Cytosol
CA1	pp	Cytosol	Cytosol
CA13	pp	Cytosol	Cytosol
CA2	pp	Cytosol	Cytosol
CA8	pp	Cytosol	Cytosol
CAB39	pp	Cytosol	Cytosol
CACYBP	pp	Cytosol	Cytosol
CADPS	pp	Cytosol	Cytosol
CADPS2	pp	Cytosol	Cytosol
CALB1	pp	Cytosol	Cytosol
CALCOCO1	pp	Cytosol	Cytosol
CALML5	pp	Cytosol	Cytosol
CAMK1	pp	Cytosol	Cytosol
CAMK1D	pp	Cytosol	Cytosol
CAMK2A	pp	Cytosol	Cytosol
CAMK2B	pp	Cytosol	Cytosol
CAMK2D	pp	Cytosol	Cytosol
CAMK2N1	pp	Cytosol	Cytosol
CAMK4	pp	Cytosol	Cytosol
CAMSAP2	pp	Cytosol	Cytosol
CAMTA2	pp	Cytosol	Cytosol
CAND1	pp	Cytosol	Cytosol
CAPN13	pp	Cytosol	Cytosol
CAPN8	pp	Cytosol	Cytosol
CAPN9	pp	Cytosol	Cytosol
CAPNS1	pp	Cytosol	Cytosol
CAPNS2	pp	Cytosol	Cytosol
CAPS2	pp	Cytosol	Cytosol
CAPZA1	pp	Cytosol	Cytosol
CAPZA2	pp	Cytosol	Cytosol
CARD11	pp	Cytosol	Cytosol
CARHSP1	pp	Cytosol	Cytosol
CARS	pp	Cytosol	Cytosol
CASKIN2	pp	Cytosol	Cytosol
CASP2	pp	Cytosol	Cytosol
CASP3	pp	Cytosol	Cytosol
CASP4	pp	Cytosol	Cytosol
CASP6	pp	Cytosol	Cytosol
CAST	pp	Cytosol	Cytosol
CBFB	pp	Cytosol	Cytosol
CBL	pp	Cytosol	Cytosol
CBR1	pp	Cytosol	Cytosol
CBR3	pp	Cytosol	Cytosol
CBWD2	pp	Cytosol	Cytosol
CC2D1B	pp	Cytosol	Cytosol
CCBL1	pp	Cytosol	Cytosol
CCDC132	pp	Cytosol	Cytosol
CCDC135	pp	Cytosol	Cytosol
CCDC154	pp	Cytosol	Cytosol
CCDC17	pp	Cytosol	Cytosol
CCDC170	pp	Cytosol	Cytosol
CCDC23	pp	Cytosol	Cytosol
CCDC37	pp	Cytosol	Cytosol
CCDC40	pp	Cytosol	Cytosol
CCDC50	pp	Cytosol	Cytosol
CCDC57	pp	Cytosol	Cytosol
CCDC66	pp	Cytosol	Cytosol
CCDC83	pp	Cytosol	Cytosol
CCDC85A	pp	Cytosol	Cytosol
CCDC85B	pp	Cytosol	Cytosol
CCDC85C	pp	Cytosol	Cytosol
CCDC92	pp	Cytosol	Cytosol
CCNDBP1	pp	Cytosol	Cytosol
CCP110	pp	Cytosol	Cytosol
CCR8	pp	Cytosol	Cytosol
CCS	pp	Cytosol	Cytosol
CD68	pp	Cytosol	Cytosol
CDA	pp	Cytosol	Cytosol
CDADC1	pp	Cytosol	Cytosol
CDC34	pp	Cytosol	Cytosol
CDC37	pp	Cytosol	Cytosol
CDC42	pp	Cytosol	Cytosol
CDC42EP3	pp	Cytosol	Cytosol
CDK1	pp	Cytosol	Cytosol
CDK20	pp	Cytosol	Cytosol
CDK6	pp	Cytosol	Cytosol
CDKL2	pp	Cytosol	Cytosol
CDKN2A	pp	Cytosol	Cytosol
CDKN2B	pp	Cytosol	Cytosol
CDKN2D	pp	Cytosol	Cytosol
CDKN3	pp	Cytosol	Cytosol
CEP72	pp	Cytosol	Cytosol
CEP85	pp	Cytosol	Cytosol
CFD	pp	Cytosol	Cytosol
CFHR3	pp	Cytosol	Cytosol
CFHR5	pp	Cytosol	Cytosol
CFL2	pp	Cytosol	Cytosol
CFLAR	pp	Cytosol	Cytosol
CHAC1	pp	Cytosol	Cytosol
CHDC2	pp	Cytosol	Cytosol
CHEK1	pp	Cytosol	Cytosol
CHGB	pp	Cytosol	Cytosol
CHKB	pp	Cytosol	Cytosol
CHML	pp	Cytosol	Cytosol
CHMP2A	pp	Cytosol	Cytosol
CHMP2B	pp	Cytosol	Cytosol
CHMP4B	pp	Cytosol	Cytosol
CHMP4C	pp	Cytosol	Cytosol
CHMP5	pp	Cytosol	Cytosol
CHMP7	pp	Cytosol	Cytosol
CHN1	pp	Cytosol	Cytosol
CHORDC1	pp	Cytosol	Cytosol
CHRNA3	pp	Cytosol	Cytosol
CIAO1	pp	Cytosol	Cytosol
CISH	pp	Cytosol	Cytosol
CKB	pp	Cytosol	Cytosol
CKM	pp	Cytosol	Cytosol
CLASP1	pp	Cytosol	Cytosol
CLEC11A	pp	Cytosol	Cytosol
CLEC16A	pp	Cytosol	Cytosol
CLIC3	pp	Cytosol	Cytosol
CLIC4	pp	Cytosol	Cytosol
CLIC6	pp	Cytosol	Cytosol
CLIP1	pp	Cytosol	Cytosol
CMBL	pp	Cytosol	Cytosol
CMPK2	pp	Cytosol	Cytosol
CMTM7	pp	Cytosol	Cytosol
CNBP	pp	Cytosol	Cytosol
CNDP1	pp	Cytosol	Cytosol
CNDP2	pp	Cytosol	Cytosol
CNN2	pp	Cytosol	Cytosol
CNN3	pp	Cytosol	Cytosol
CNOT8	pp	Cytosol	Cytosol
CNRIP1	pp	Cytosol	Cytosol
CNTLN	pp	Cytosol	Cytosol
CNTN4	pp	Cytosol	Cytosol
COG5	pp	Cytosol	Cytosol
COG7	pp	Cytosol	Cytosol
COL1A1	pp	Cytosol	Cytosol
COL4A3BP	pp	Cytosol	Cytosol
COL9A2	pp	Cytosol	Cytosol
COL9A3	pp	Cytosol	Cytosol
COLQ	pp	Cytosol	Cytosol
COMMD1	pp	Cytosol	Cytosol
COMMD10	pp	Cytosol	Cytosol
COMMD3	pp	Cytosol	Cytosol
COMMD5	pp	Cytosol	Cytosol
COMMD6	pp	Cytosol	Cytosol
COMMD8	pp	Cytosol	Cytosol
COMMD9	pp	Cytosol	Cytosol
COPA	pp	Cytosol	Cytosol
COPB1	pp	Cytosol	Cytosol
COPG2	pp	Cytosol	Cytosol
COPRS	pp	Cytosol	Cytosol
COPS7B	pp	Cytosol	Cytosol
CPED1	pp	Cytosol	Cytosol
CPLX1	pp	Cytosol	Cytosol
CPN2	pp	Cytosol	Cytosol
CPNE2	pp	Cytosol	Cytosol
CPNE3	pp	Cytosol	Cytosol
CPNE4	pp	Cytosol	Cytosol
CPNE7	pp	Cytosol	Cytosol
CPPED1	pp	Cytosol	Cytosol
CPXM2	pp	Cytosol	Cytosol
CRABP1	pp	Cytosol	Cytosol
CRABP2	pp	Cytosol	Cytosol
CRADD	pp	Cytosol	Cytosol
CRISP3	pp	Cytosol	Cytosol
CRK	pp	Cytosol	Cytosol
CRKL	pp	Cytosol	Cytosol
CRMP1	pp	Cytosol	Cytosol
CRTC3	pp	Cytosol	Cytosol
CRYAA	pp	Cytosol	Cytosol
CRYM	pp	Cytosol	Cytosol
CSAD	pp	Cytosol	Cytosol
CSE1L	pp	Cytosol	Cytosol
CSNK1G1	pp	Cytosol	Cytosol
CSRP1	pp	Cytosol	Cytosol
CSRP3	pp	Cytosol	Cytosol
CSTA	pp	Cytosol	Cytosol
CTH	pp	Cytosol	Cytosol
CTPS1	pp	Cytosol	Cytosol
CTTN	pp	Cytosol	Cytosol
CTTNBP2NL	pp	Cytosol	Cytosol
CXorf38	pp	Cytosol	Cytosol
CYB5R2	pp	Cytosol	Cytosol
CYB5R4	pp	Cytosol	Cytosol
CYFIP1	pp	Cytosol	Cytosol
CYP4B1	pp	Cytosol	Cytosol
CYP4Z1	pp	Cytosol	Cytosol
DACT1	pp	Cytosol	Cytosol
DAP	pp	Cytosol	Cytosol
DAPP1	pp	Cytosol	Cytosol
DAZAP2	pp	Cytosol	Cytosol
DCST1	pp	Cytosol	Cytosol
DCTD	pp	Cytosol	Cytosol
DCTN6	pp	Cytosol	Cytosol
DCTPP1	pp	Cytosol	Cytosol
DCUN1D1	pp	Cytosol	Cytosol
DDAH2	pp	Cytosol	Cytosol
DDC	pp	Cytosol	Cytosol
DDIT4	pp	Cytosol	Cytosol
DDX19A	pp	Cytosol	Cytosol
DENND1A	pp	Cytosol	Cytosol
DENND1B	pp	Cytosol	Cytosol
DENND4A	pp	Cytosol	Cytosol
DENND4C	pp	Cytosol	Cytosol
DEPDC7	pp	Cytosol	Cytosol
DESI1	pp	Cytosol	Cytosol
DFNA5	pp	Cytosol	Cytosol
DGKA	pp	Cytosol	Cytosol
DGKH	pp	Cytosol	Cytosol
DGKQ	pp	Cytosol	Cytosol
DHRS11	pp	Cytosol	Cytosol
DHRS12	pp	Cytosol	Cytosol
DLC1	pp	Cytosol	Cytosol
DLX1	pp	Cytosol	Cytosol
DMPK	pp	Cytosol	Cytosol
DMRTC2	pp	Cytosol	Cytosol
DNAAF2	pp	Cytosol	Cytosol
DNAAF3	pp	Cytosol	Cytosol
DNAH1	pp	Cytosol	Cytosol
DNAH8	pp	Cytosol	Cytosol
DNAJA4	pp	Cytosol	Cytosol
DNAJB4	pp	Cytosol	Cytosol
DNAJC5B	pp	Cytosol	Cytosol
DNM1L	pp	Cytosol	Cytosol
DNM3	pp	Cytosol	Cytosol
DNMBP	pp	Cytosol	Cytosol
DNPH1	pp	Cytosol	Cytosol
DOC2A	pp	Cytosol	Cytosol
DOCK2	pp	Cytosol	Cytosol
DOK1	pp	Cytosol	Cytosol
DOK7	pp	Cytosol	Cytosol
DOPEY1	pp	Cytosol	Cytosol
DPH1	pp	Cytosol	Cytosol
DPH2	pp	Cytosol	Cytosol
DPH5	pp	Cytosol	Cytosol
DPH6	pp	Cytosol	Cytosol
DPP3	pp	Cytosol	Cytosol
DPT	pp	Cytosol	Cytosol
DPYSL2	pp	Cytosol	Cytosol
DPYSL3	pp	Cytosol	Cytosol
DPYSL4	pp	Cytosol	Cytosol
DRG1	pp	Cytosol	Cytosol
DSG1	pp	Cytosol	Cytosol
DSTN	pp	Cytosol	Cytosol
DTD2	pp	Cytosol	Cytosol
DTWD2	pp	Cytosol	Cytosol
DUS4L	pp	Cytosol	Cytosol
DUSP16	pp	Cytosol	Cytosol
DUSP19	pp	Cytosol	Cytosol
DUSP3	pp	Cytosol	Cytosol
DUSP6	pp	Cytosol	Cytosol
DUSP9	pp	Cytosol	Cytosol
DVL2	pp	Cytosol	Cytosol
DYNC2H1	pp	Cytosol	Cytosol
E2F5	pp	Cytosol	Cytosol
ECD	pp	Cytosol	Cytosol
ECE2	pp	Cytosol	Cytosol
EDA	pp	Cytosol	Cytosol
EDARADD	pp	Cytosol	Cytosol
EEF1A1	pp	Cytosol	Cytosol
EEF1A2	pp	Cytosol	Cytosol
EFHC1	pp	Cytosol	Cytosol
EFTUD1	pp	Cytosol	Cytosol
EHBP1	pp	Cytosol	Cytosol
EID2	pp	Cytosol	Cytosol
EIF2AK1	pp	Cytosol	Cytosol
EIF2AK4	pp	Cytosol	Cytosol
EIF4EBP1	pp	Cytosol	Cytosol
EIF4EBP2	pp	Cytosol	Cytosol
EIF5	pp	Cytosol	Cytosol
EIF5A2	pp	Cytosol	Cytosol
ELAC1	pp	Cytosol	Cytosol
ELP2	pp	Cytosol	Cytosol
ELP5	pp	Cytosol	Cytosol
ELP6	pp	Cytosol	Cytosol
EMILIN2	pp	Cytosol	Cytosol
EML2	pp	Cytosol	Cytosol
ENAH	pp	Cytosol	Cytosol
ENC1	pp	Cytosol	Cytosol
ENO1	pp	Cytosol	Cytosol
ENO2	pp	Cytosol	Cytosol
ENOPH1	pp	Cytosol	Cytosol
ENOSF1	pp	Cytosol	Cytosol
EPS8L2	pp	Cytosol	Cytosol
ERF	pp	Cytosol	Cytosol
ERI3	pp	Cytosol	Cytosol
ESD	pp	Cytosol	Cytosol
ESPN	pp	Cytosol	Cytosol
EVI5L	pp	Cytosol	Cytosol
EZR	pp	Cytosol	Cytosol
F12	pp	Cytosol	Cytosol
FABP4	pp	Cytosol	Cytosol
FABP5	pp	Cytosol	Cytosol
FADD	pp	Cytosol	Cytosol
FAH	pp	Cytosol	Cytosol
FAIM	pp	Cytosol	Cytosol
FAM102B	pp	Cytosol	Cytosol
FAM107A	pp	Cytosol	Cytosol
FAM109B	pp	Cytosol	Cytosol
FAM110B	pp	Cytosol	Cytosol
FAM110C	pp	Cytosol	Cytosol
FAM115A	pp	Cytosol	Cytosol
FAM117B	pp	Cytosol	Cytosol
FAM129A	pp	Cytosol	Cytosol
FAM135A	pp	Cytosol	Cytosol
FAM13B	pp	Cytosol	Cytosol
FAM160A1	pp	Cytosol	Cytosol
FAM160B1	pp	Cytosol	Cytosol
FAM168A	pp	Cytosol	Cytosol
FAM179B	pp	Cytosol	Cytosol
FAM188A	pp	Cytosol	Cytosol
FAM200A	pp	Cytosol	Cytosol
FAM212B	pp	Cytosol	Cytosol
FAM213B	pp	Cytosol	Cytosol
FAM21A	pp	Cytosol	Cytosol
FAM221A	pp	Cytosol	Cytosol
FAM222B	pp	Cytosol	Cytosol
FAM53B	pp	Cytosol	Cytosol
FAM53C	pp	Cytosol	Cytosol
FAM63A	pp	Cytosol	Cytosol
FAM65B	pp	Cytosol	Cytosol
FAM89B	pp	Cytosol	Cytosol
FAM92A1	pp	Cytosol	Cytosol
FAM96A	pp	Cytosol	Cytosol
FAM96B	pp	Cytosol	Cytosol
FANK1	pp	Cytosol	Cytosol
FASN	pp	Cytosol	Cytosol
FBF1	pp	Cytosol	Cytosol
FBN2	pp	Cytosol	Cytosol
FBXL18	pp	Cytosol	Cytosol
FBXL5	pp	Cytosol	Cytosol
FBXL7	pp	Cytosol	Cytosol
FBXL8	pp	Cytosol	Cytosol
FBXO2	pp	Cytosol	Cytosol
FBXO30	pp	Cytosol	Cytosol
FBXO4	pp	Cytosol	Cytosol
FBXO5	pp	Cytosol	Cytosol
FBXO6	pp	Cytosol	Cytosol
FCER1G	pp	Cytosol	Cytosol
FCHSD1	pp	Cytosol	Cytosol
FCN3	pp	Cytosol	Cytosol
FDXACB1	pp	Cytosol	Cytosol
FEM1A	pp	Cytosol	Cytosol
FER	pp	Cytosol	Cytosol
FETUB	pp	Cytosol	Cytosol
FEZ2	pp	Cytosol	Cytosol
FGA	pp	Cytosol	Cytosol
FGD3	pp	Cytosol	Cytosol
FGD6	pp	Cytosol	Cytosol
FGF1	pp	Cytosol	Cytosol
FGG	pp	Cytosol	Cytosol
FGGY	pp	Cytosol	Cytosol
FHL1	pp	Cytosol	Cytosol
FHOD1	pp	Cytosol	Cytosol
FKBP1B	pp	Cytosol	Cytosol
FKBPL	pp	Cytosol	Cytosol
FLNC	pp	Cytosol	Cytosol
FMN1	pp	Cytosol	Cytosol
FN3KRP	pp	Cytosol	Cytosol
FNBP1L	pp	Cytosol	Cytosol
FNTB	pp	Cytosol	Cytosol
FOXF2	pp	Cytosol	Cytosol
FPGS	pp	Cytosol	Cytosol
FPGT	pp	Cytosol	Cytosol
FSCN1	pp	Cytosol	Cytosol
FSD1	pp	Cytosol	Cytosol
FSIP1	pp	Cytosol	Cytosol
FUOM	pp	Cytosol	Cytosol
FYB	pp	Cytosol	Cytosol
GAB2	pp	Cytosol	Cytosol
GABBR2	pp	Cytosol	Cytosol
GADD45A	pp	Cytosol	Cytosol
GALK2	pp	Cytosol	Cytosol
GALM	pp	Cytosol	Cytosol
GALT	pp	Cytosol	Cytosol
GAMT	pp	Cytosol	Cytosol
GAPDH	pp	Cytosol	Cytosol
GARS	pp	Cytosol	Cytosol
GBP4	pp	Cytosol	Cytosol
GBP6	pp	Cytosol	Cytosol
GC	pp	Cytosol	Cytosol
GCFC2	pp	Cytosol	Cytosol
GCHFR	pp	Cytosol	Cytosol
GCLM	pp	Cytosol	Cytosol
GDPGP1	pp	Cytosol	Cytosol
GEM	pp	Cytosol	Cytosol
GEMIN5	pp	Cytosol	Cytosol
GFPT2	pp	Cytosol	Cytosol
GIT1	pp	Cytosol	Cytosol
GLCCI1	pp	Cytosol	Cytosol
GLOD4	pp	Cytosol	Cytosol
GLRX	pp	Cytosol	Cytosol
GLTP	pp	Cytosol	Cytosol
GLTPD1	pp	Cytosol	Cytosol
GLUD2	pp	Cytosol	Cytosol
GMFB	pp	Cytosol	Cytosol
GMPR	pp	Cytosol	Cytosol
GMPR2	pp	Cytosol	Cytosol
GNB5	pp	Cytosol	Cytosol
GNE	pp	Cytosol	Cytosol
GNL1	pp	Cytosol	Cytosol
GNPDA2	pp	Cytosol	Cytosol
GOLPH3L	pp	Cytosol	Cytosol
GPD1L	pp	Cytosol	Cytosol
GPI	pp	Cytosol	Cytosol
GPN3	pp	Cytosol	Cytosol
GPR158	pp	Cytosol	Cytosol
GPR34	pp	Cytosol	Cytosol
GPRIN2	pp	Cytosol	Cytosol
GPSM2	pp	Cytosol	Cytosol
GPT	pp	Cytosol	Cytosol
GPX1	pp	Cytosol	Cytosol
GPX2	pp	Cytosol	Cytosol
GRB10	pp	Cytosol	Cytosol
GRHPR	pp	Cytosol	Cytosol
GSDMB	pp	Cytosol	Cytosol
GSDMD	pp	Cytosol	Cytosol
GSK3A	pp	Cytosol	Cytosol
GSK3B	pp	Cytosol	Cytosol
GSN	pp	Cytosol	Cytosol
GSPT2	pp	Cytosol	Cytosol
GSR	pp	Cytosol	Cytosol
GSTA4	pp	Cytosol	Cytosol
GSTCD	pp	Cytosol	Cytosol
GSTM2	pp	Cytosol	Cytosol
GSTO2	pp	Cytosol	Cytosol
GSTP1	pp	Cytosol	Cytosol
GSTT1	pp	Cytosol	Cytosol
GSTZ1	pp	Cytosol	Cytosol
