SYMBOL	interaction	target	Neighbourhood
FAM49B	pp	C1	Cytosol
FAM65A	pp	C1	Cytosol
FAM86A	pp	C1	Cytosol
FAM98C	pp	C1	Cytosol
FBXL15	pp	C1	Cytosol
FBXO32	pp	C1	Cytosol
FBXO42	pp	C1	Cytosol
FBXW11	pp	C1	Cytosol
FBXW8	pp	C1	Cytosol
FBXW9	pp	C1	Cytosol
FERMT1	pp	C1	Cytosol
FERMT2	pp	C1	Cytosol
FHAD1	pp	C1	Cytosol
FLCN	pp	C1	Cytosol
FNIP1	pp	C1	Cytosol
FOCAD	pp	C1	Cytosol
FOXO6	pp	C1	Cytosol
FRY	pp	C1	Cytosol
FRYL	pp	C1	Cytosol
FTSJ1	pp	C1	Cytosol
GABARAP	pp	C1	Cytosol
GABARAPL1	pp	C1	Cytosol
GABARAPL2	pp	C1	Cytosol
GAN	pp	C1	Cytosol
GATSL2	pp	C1	Cytosol
GBF1	pp	C1	Cytosol
GEMIN7	pp	C1	Cytosol
GPATCH2	pp	C1	Cytosol
GPN2	pp	C1	Cytosol
GPRASP2	pp	C1	Cytosol
GRB14	pp	C1	Cytosol
GSDMC	pp	C1	Cytosol
GTPBP1	pp	C1	Cytosol
GYG2	pp	C1	Cytosol
HAGH	pp	C1	Cytosol
HAUS2	pp	C1	Cytosol
HAUS3	pp	C1	Cytosol
HAUS4	pp	C1	Cytosol
HAUS5	pp	C1	Cytosol
HAUS6	pp	C1	Cytosol
HAUS7	pp	C1	Cytosol
HAUS8	pp	C1	Cytosol
HEATR5A	pp	C1	Cytosol
HECTD3	pp	C1	Cytosol
HECTD4	pp	C1	Cytosol
HERC1	pp	C1	Cytosol
HERC4	pp	C1	Cytosol
HMGCLL1	pp	C1	Cytosol
HPS3	pp	C1	Cytosol
HPS5	pp	C1	Cytosol
HSPB11	pp	C1	Cytosol
IGHV2-70	pp	C1	Cytosol
IKBKE	pp	C1	Cytosol
ILK	pp	C1	Cytosol
INPP5F	pp	C1	Cytosol
IPO9	pp	C1	Cytosol
IQCB1	pp	C1	Cytosol
IRAK2	pp	C1	Cytosol
IREB2	pp	C1	Cytosol
ISG15	pp	C1	Cytosol
ISPD	pp	C1	Cytosol
ITPK1	pp	C1	Cytosol
KATNB1	pp	C1	Cytosol
KATNBL1	pp	C1	Cytosol
KCMF1	pp	C1	Cytosol
KCNA3	pp	C1	Cytosol
KCTD21	pp	C1	Cytosol
KHNYN	pp	C1	Cytosol
KIAA0930	pp	C1	Cytosol
KIAA1024	pp	C1	Cytosol
KIF13A	pp	C1	Cytosol
KIF13B	pp	C1	Cytosol
KIF1B	pp	C1	Cytosol
KIF1C	pp	C1	Cytosol
KLHL9	pp	C1	Cytosol
KSR1	pp	C1	Cytosol
